"Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product"
"[Percent]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 25, 2020 - Next Release Date July 30, 2020"
"Line","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",4.1,1.0,1.7,2.9,3.8,3.5,2.9,1.9,-0.1,-2.5,2.6,1.6,2.2,1.8,2.5,2.9,1.6,2.4,2.9
"2","Personal consumption expenditures",5.1,2.5,2.6,3.2,3.8,3.6,3.1,2.2,-0.2,-1.3,1.7,1.9,1.5,1.5,3.0,3.7,2.7,2.6,3.0
"3","    Goods",5.2,3.0,3.9,4.9,5.1,4.1,3.7,2.8,-3.0,-3.1,2.8,2.2,2.1,3.1,4.1,4.7,3.6,3.9,4.1
"4","        Durable goods",8.6,5.2,7.4,7.2,8.3,5.5,4.4,4.8,-5.7,-6.1,5.6,5.1,6.0,6.1,7.2,7.5,6.1,6.9,6.3
"5","        Nondurable goods",3.2,1.7,1.8,3.5,3.3,3.3,3.3,1.7,-1.6,-1.7,1.6,0.9,0.4,1.8,2.6,3.4,2.4,2.5,3.0
"6","    Services",5.0,2.2,1.8,2.2,3.0,3.2,2.7,1.9,1.3,-0.3,1.2,1.7,1.2,0.6,2.4,3.2,2.3,2.0,2.5
"7","Gross private domestic investment",6.7,-5.6,-0.9,4.3,9.3,6.7,3.1,-2.5,-8.2,-21.2,14.1,6.6,11.0,6.9,5.6,4.9,-1.3,4.4,5.1
"8","    Fixed investment",7.1,-1.4,-3.5,4.5,7.0,7.3,2.6,-1.2,-5.8,-16.0,3.1,7.1,10.0,5.6,6.6,3.4,1.9,4.2,4.6
"9","        Nonresidential",9.3,-2.2,-6.9,2.5,5.6,7.7,8.0,6.9,0.6,-14.5,4.5,8.7,9.5,4.1,7.2,1.8,0.7,4.4,6.4
"10","            Structures",8.1,-1.3,-17.4,-3.6,-0.1,2.1,7.6,13.3,6.5,-18.7,-16.1,2.7,13.0,1.3,11.0,-3.0,-5.0,4.7,4.1
"11","            Equipment",9.7,-4.3,-5.3,4.4,8.6,10.4,9.6,4.0,-4.8,-21.2,20.2,13.4,11.0,4.7,7.0,3.2,-1.3,4.7,6.8
"12","            Intellectual property products",9.5,1.0,-0.8,3.8,4.9,7.4,5.8,6.3,3.8,-0.5,2.7,6.2,5.0,5.4,4.8,3.6,7.9,3.7,7.4
"13","        Residential",0.7,0.9,6.1,9.1,10.0,6.6,-7.5,-18.7,-24.2,-21.7,-3.1,-0.1,13.0,12.4,3.8,10.2,6.5,3.5,-1.5
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"16","    Exports",8.3,-5.8,-1.7,2.2,9.7,7.1,9.3,8.7,5.7,-8.4,12.1,7.1,3.4,3.6,4.2,0.5,0.0,3.5,3.0
"17","        Goods",9.9,-6.3,-3.3,2.9,8.8,7.7,9.9,7.0,5.8,-11.9,15.0,7.1,3.8,3.2,4.6,-0.4,0.6,3.9,4.3
"18","        Services",4.3,-4.3,2.4,0.4,11.9,5.9,8.0,13.0,5.3,-0.3,6.3,7.3,2.4,4.5,3.3,2.2,-1.1,2.7,0.7
"19","    Imports",12.9,-2.8,3.6,4.9,11.4,6.5,6.6,2.5,-2.2,-13.1,13.1,5.6,2.7,1.5,5.0,5.3,2.0,4.7,4.4
"20","        Goods",13.0,-3.4,3.7,5.8,11.4,7.0,6.2,2.1,-3.4,-15.3,15.4,6.1,2.6,1.8,5.6,5.7,1.5,4.8,5.0
"21","        Services",12.5,0.3,3.5,0.4,11.2,3.9,8.8,4.9,3.9,-2.2,3.6,3.2,3.1,0.5,2.3,3.5,4.4,4.4,1.6
"22","Government consumption expenditures and gross investment",1.8,3.7,4.5,2.1,1.5,0.8,1.6,1.8,2.5,3.5,0.0,-3.1,-2.1,-2.4,-0.9,1.9,1.8,0.7,1.7
"23","    Federal",0.3,3.8,7.4,6.5,4.3,2.0,2.4,2.0,6.3,6.1,4.1,-2.6,-1.9,-5.5,-2.6,-0.1,0.4,0.8,2.9
"24","        National defense",-0.9,3.3,7.5,8.2,5.7,2.3,1.6,2.8,6.9,5.7,2.9,-2.1,-3.4,-6.7,-4.1,-2.1,-0.6,0.7,3.3
"25","        Nondefense",2.3,4.7,7.3,3.8,2.1,1.5,3.7,0.4,5.1,6.8,6.2,-3.4,0.9,-3.5,-0.1,3.1,2.0,0.8,2.4
"26","    State and local",2.7,3.7,2.9,-0.3,-0.1,0.0,1.1,1.7,0.2,1.9,-2.7,-3.5,-2.2,-0.3,0.2,3.2,2.6,0.6,1.0
"","Addendum:","","","","","","","","","","","","","","","","","","",""
"27","    Gross domestic product, current dollars",6.5,3.2,3.4,4.8,6.6,6.7,6.0,4.6,1.8,-1.8,3.8,3.7,4.2,3.6,4.4,4.0,2.7,4.3,5.4
